kjønn;serieår;divisjon;plassering;klubb_id;klubbnavn;lagnummer;poeng
kvinner;2003;1;1;34;IK Tjalve;1;24267
kvinner;2003;1;2;61;Norna-Salhus IL;1;22962
kvinner;2003;1;3;134;Gloppen Friidrettslag;1;21126
kvinner;2003;1;4;13;Sportsklubben Vidar;1;21104
kvinner;2003;1;5;89;Idrettslaget Skjalg;1;20604
kvinner;2003;1;6;35;Trondheim Friidrett;1;20519
kvinner;2003;1;7;16;IL i BUL;1;20348
kvinner;2003;1;8;51;Steinkjer Friidrettsklubb;1;20143
kvinner;2003;1;9;52;BFG Bergen;1;19976
kvinner;2003;1;10;171;Ranheim IL;1;18882
kvinner;2003;1;11;31;Fredrikstad IF;1;18230
kvinner;2003;1;12;74;Ørsta IL;1;17754
kvinner;2003;1;13;104;Osterøy IL;1;17202
kvinner;2003;1;14;76;IF Hellas;1;16834
kvinner;2003;2;1;53;Haugesund IL;1;16635
kvinner;2003;2;2;25;IL Tyrving;1;16229
kvinner;2003;2;3;8;IL Sandvin;1;15450
kvinner;2003;2;4;28;Moss IL;1;15195
kvinner;2003;2;5;60;FIK Orion;1;15031
kvinner;2003;2;6;196;Stjørdal Friidrettsklubb;1;15025
kvinner;2003;2;7;102;Modum FIK;1;14717
kvinner;2003;2;8;105;Lillehammer IF;1;13784
kvinner;2003;2;9;73;Kristiansands IF Friidrett;1;13602
kvinner;2003;2;10;227;Rana FIK;1;13018
kvinner;2003;2;11;10000511;Tingvoll Friidrettsklubb;1;12596
kvinner;2003;2;12;68;IL Runar;1;12004
kvinner;2003;2;13;100;IL Fri;1;11702
kvinner;2003;2;14;15;Ullensaker/Kisa IL;1;11074
kvinner;2003;3;1;140;Sigdal FIK;1;12306
kvinner;2003;3;2;188;Ålesund Friidrettsklubb;1;12177
kvinner;2003;3;3;27;IF Sturla;1;12024
kvinner;2003;3;4;176;IL i BUL Tromsø;1;11548
kvinner;2003;3;5;55;Florø Turn og IF;1;11453
kvinner;2003;3;6;181;Stord Idrettslag;1;11381
kvinner;2003;3;7;9;Minerva Idrettsskole;1;11312
kvinner;2003;3;8;44;Tønsberg Friidrettsklubb;1;11268
kvinner;2003;3;9;65;IL Gular;1;11059
kvinner;2003;3;10;20;IF Eiker-Kvikk;1;10993
kvinner;2003;3;11;89;Idrettslaget Skjalg;2;10847
kvinner;2003;3;12;83;Sandnes IL;1;10642
kvinner;2003;3;13;34;IK Tjalve;2;10487
kvinner;2003;3;14;12;Horten Friidrettsklubb;1;10465
kvinner;2003;3;15;61;Norna-Salhus IL;2;10438
kvinner;2003;3;16;174;Hareid IL;1;10046
kvinner;2003;3;17;43;Ringerike Friidrettsklubb;1;9923
kvinner;2003;3;18;70;Larvik Turn & IF;1;9847
kvinner;2003;3;19;71;Laksevåg TIL;1;9798
kvinner;2003;3;20;16;IL i BUL;2;9653
kvinner;2003;3;21;21;Lørenskog Friidrettslag;1;9561
kvinner;2003;3;22;25;IL Tyrving;2;9489
kvinner;2003;3;23;24;Asker Sk. Friidrett;1;9334
kvinner;2003;3;24;50;Bækkelagets SK;1;9246
kvinner;2003;3;25;129;FIK Ren-Eng;1;9220
kvinner;2003;3;26;5;Strømmen IF;1;9192
kvinner;2003;3;27;134;Gloppen Friidrettslag;2;9123
kvinner;2003;3;28;2118;IL Flint;1;8951
kvinner;2003;3;29;30;Oppstad IL;1;8916
kvinner;2003;3;30;95;Overhalla IL;1;8914
kvinner;2003;3;31;2004;Klepp IL;1;8850
kvinner;2003;3;32;209;Oslostudentenes IK Friidrett;1;8763
kvinner;2003;3;33;48;Askim IF;1;8762
kvinner;2003;3;34;72;Urædd Friidrett;1;8683
kvinner;2003;3;35;10;Nittedal IL;1;8471
kvinner;2003;3;36;13;Sportsklubben Vidar;2;8352
kvinner;2003;3;37;199;Namdalseid;1;8263
kvinner;2003;3;38;237;Mogutten IL;1;8128
kvinner;2003;3;39;42;Halden IL;1;8156
kvinner;2003;3;40;162;IL Nidelv;1;8117
kvinner;2003;3;41;22;Brandbu IF;1;8005
kvinner;2003;3;42;124;Sørfjell IL;1;7973
kvinner;2003;3;43;144;Alta IF;1;7942
kvinner;2003;3;44;254;Skrautvål IL friidrett;1;7920
kvinner;2003;3;45;93;Dimna IL;1;7887
kvinner;2003;3;46;99;Fagernes IL;1;7885
kvinner;2003;3;47;192;Førde IL Friidrett;1;7876
kvinner;2003;3;48;122;FIL Borg;1;7871
